id,fr,en,es
YUUGURE_INTRO_TEXT_01,"Ton coeur fut brisé lorsque tu as sauvé ton ami, Kioku.","Your heart shattered when you saved your friend, Kioku.","Tu corazón quedó destrozado cuando salvaste a tu amigo, Kioku."
YUUGURE_INTRO_TEXT_02,"Ainsi, tu ne peux rivaliser face à mes ténèbres !","Thus, you can't stand against my shadows !","¡Por ello no puedes oponerte a mis sombras !"
YUUGURE_INTRO_TEXT_03,"Laisse-toi submerger par les ombres ! Laisse cette dernière étincelle de lumière s'éteindre !","Let yourself be submerged by the darkness ! Let this last spark of light tail off !","¡Sumérgete en la oscuridad ! ¡Deja que esta última chispa se apague !"
YUUGURE_INTRO_TEXT_04,"Fais-toi au fait que je suis le nouveau propriétaire de ton corps !!","Realize the fact that I am the new owner of your body !!","¡¡Entiende que ahora tu cuerpo me pertenece !!"
KIRYOKU_INTRO_TEXT_00,"Il n'en est pas question ! Tu resteras coincé avec moi dans ce rêve !","That's out of the question ! You'll be stuck with me in this dream !","¡Eso está fuera de lugar ! ¡Quedarás atrapado conmigo en este sueño !"
KIRYOKU_INTRO_TEXT_01,"Même si mon coeur est perdu, tant que mon esprit subsistera...","Even if my heart is gone, as long as my spirit remains...","Incluso sin mi corazón, mientras mi espíritu permanezca..."
KIRYOKU_INTRO_TEXT_02,"Jamais tu n'auras l'occasion de revenir dans le monde réel !","You'll never have the chance to return to the real world !","¡No podrás volver al mundo real !"
KIRYOKU_INTRO_TEXT_03,"Mon corps m'appartient et tu n'auras aucun moyen de le reprendre !","My body belongs to me, and in no way will I let you take it !","¡Mi cuerpo me pertenece, y de ninguna manera voy a dejar que te lo lleves !"
YUUGURE_INTRO_TEXT_05,Et pourtant tu te trompes...,"Alas, you're mistaken...","Por degracia, te equivocas..."
YUUGURE_INTRO_TEXT_06,"Ce corps que tu revendiques tant... Il ne t'a plus appartenu dès le moment où tu as succombé aux ténèbres !","This body you cherish so much... Was lost to you as soon as you succumbed to darkness !","Ese cuerpo al que aprecias... ¡Se perdió en cuanto sucumbiste a la oscuridad!"
INTRO_BIG,N'ABANDONNE PAS !,DON'T GIVE UP!,¡NO TE RINDAS!
KIRYOKU_INTRO_TEXT_04,Je....Je ne peux pas m'arrêter maintenant !,I...I can't stop now !,No...¡No puedo parar ahora !
KIRYOKU_INTRO_TEXT_05,Je ne m'arrêterais pas tant que j'aurais des amis à protéger...,I won't stop as long as I have friends to protect...,No pararé mientras tenga amigos a los que proteger...,
KIRYOKU_INTRO_TEXT_06,Et tant que l'ordre des mondes sera menacé !,And as long as the worlds' order is threatened !,¡Y el orden de los mundos se vea amenazado !
KIRYOKU_INTRO_TEXT_07,As-tu compris !?,Do you understand !?,¿Lo entiendes?
KIRYOKU_INTRO_TEXT_08,Il m'est impossible d'abandonner maintenant !,It's impossible for me to back down now !,¡Es imposible que me eche atrás ahora !
KIRYOKU_INTRO_TEXT_09,Je pense que tu seras d'accord avec moi si je te dis...,I believe you'll agree when I say...,Creo que estarás de acuerdo cuando te diga...
KIRYOKU_INTRO_TEXT_10,...Que nous devons en finir !!,...That we'll have to end this !!,...¡¡Que vamos a acabar con esto !!
YUUGURE_INTRO_TEXT_07,Que...Quoi...Comment est-ce possible !?,Wh...What....How is this possible !?,¿¡Qu...Qué...Cómo es posible!?
YUUGURE_INTRO_TEXT_08,Un être démuni de coeur ne peut pourtant invoquer la Keyblade !,A being deprived of its heart cannot summon the Keyblade !,¡Un ser despojado de su corazón no puede invocar una llave espada!
KIRYOKU_INTRO_TEXT_11,Mon coeur n'est peut-être plus présent...,My heart may not be with me anymore...,Puede que mi corazón no esté conmigo...,
KIRYOKU_INTRO_TEXT_12,Mais je sens que sa lumière brille encore de mille feux !,But I can feel that its light still burns a thousand fires !,¡Pero puedo sentir su luz ardiendo en llamas!
KIRYOKU_INTRO_TEXT_13,"Je ne sais pas où ces actes me vont emmener, mais je suis sûr d'une chose...","I don't know where these acts will take me but I'm sure of one thing...","No sé a dónde me llevará esto, pero estoy seguro de una cosa..."
KIRYOKU_INTRO_TEXT_14,"Tant que j'aurais la force de me relever, cette force t'entravera par toute sa détermination !","As long as I have the strength to get up again, the sheer determination of that strength will prevail !","¡Mientras tenga fuerza para levantarme, la determinación de esa fuerza prevalecerá !"
KIRYOKU_INTRO_TEXT_15,"Cette arme fatale, cette X-Blade...","This deadly weapon,
this X-Blade...","Esta arma letal, esta Llave Espada X..."
KIRYOKU_INTRO_TEXT_16,"Tant que je serais debout, elle restera en dehors de ta portée, père !","As long as I'm standing, this weapon will stay far away from your grasp, father !","¡Mientras siga en pié, esta arma quedará lejos de tu alcanze, padre !"
YUUGURE_INTRO_TEXT_09,Même si tu arrivais a me vaincre avec ta simple Keyblade...,Even if you'd succeed to defeat me with your simple Keyblade...,Incluso si consiguieses derrotarme con tu simple llave espada...
YUUGURE_INTRO_TEXT_10,"Tant que tu resteras endormi, coincé dans ton rêve, mon retour ne pourra être empêché !","For as long as you remain asleep, stuck in your dream, my return cannot be prevented !","Mientras sigas dormido y atrapado en tu sueño, ¡Nada podrá impedir mi regreso!"
YUUGURE_INTRO_TEXT_11,Abandonne d'ores et déjà ! Que penses-tu être capable de prouver ?,Just give it up ! Just what do you think you're able to achieve ?,¡Solo ríndete ! ¿Qué crees que vas a conseguir ?
YUUGURE_INTRO_TEXT_12,Tu sais très bien l'issue qu'aura un combat contre moi...,You know very well the end result of a fight against me...,Sabes perfectamente como acabará esto...
KIRYOKU_INTRO_TEXT_17,Je la connais en effet...,I know it indeed...,"Es cierto,
lo sé..."
KIRYOKU_INTRO_TEXT_18,"Mais je pensais que tu me connaissais mieux, pourtant en tant que mon père, tu devrais savoir...","Yet, here I thought you'd know me better. As my father, you should know that...","Aún así, pensé que me conocías mejor.Siendo mi padre deberías saberlo..."
KIRYOKU_INTRO_TEXT_19,...QUE JE SUIS LOIN D'ETRE RAISONNABLE !!,...I AM FAR FROM BEING REASONABLE !,...¡NO TENDRÉ MIRAMIENTOS !
INTRO_INFO_YUUGURE,Battez Yuugure !,Defeat Yuugure !,¡Derrota a Yuugure!
